40297 2025-08-20 15:16:42,634 INFO: download_tiles.py(115): Namespace(coordinates=[8.589773, 50.151945, 8.717489, 50.092732], zoom=[12, 15], url='https://tile.thunderforest.com/cycle/{z}/{x}/{y}.png?apikey=cb3553b5305749f8a585e4e7ce4d56f1', output_folder='/data/websites/snailtrail.org/www/tasks/f568a45be5d5c82da29130d81c692fb9b21ca16044edee81f5ed4db2f798b403', extension='png', task_id=3, overwrite=False)
40297 2025-08-20 15:16:44,089 ERROR: download_tiles.py(156): Download https://tile.thunderforest.com/cycle/12/2145/1386.png?apikey=cb3553b5305749f8a585e4e7ce4d56f1 to /data/websites/snailtrail.org/www/tasks/f568a45be5d5c82da29130d81c692fb9b21ca16044edee81f5ed4db2f798b403/cycle/12/2145/1386.png failed
40297 2025-08-20 15:16:46,362 ERROR: download_tiles.py(156): Download https://tile.thunderforest.com/cycle/12/2145/1387.png?apikey=cb3553b5305749f8a585e4e7ce4d56f1 to /data/websites/snailtrail.org/www/tasks/f568a45be5d5c82da29130d81c692fb9b21ca16044edee81f5ed4db2f798b403/cycle/12/2145/1387.png failed
40297 2025-08-20 15:16:48,577 ERROR: download_tiles.py(156): Download https://tile.thunderforest.com/cycle/12/2146/1386.png?apikey=cb3553b5305749f8a585e4e7ce4d56f1 to /data/websites/snailtrail.org/www/tasks/f568a45be5d5c82da29130d81c692fb9b21ca16044edee81f5ed4db2f798b403/cycle/12/2146/1386.png failed
40297 2025-08-20 15:16:50,636 ERROR: download_tiles.py(156): Download https://tile.thunderforest.com/cycle/12/2146/1387.png?apikey=cb3553b5305749f8a585e4e7ce4d56f1 to /data/websites/snailtrail.org/www/tasks/f568a45be5d5c82da29130d81c692fb9b21ca16044edee81f5ed4db2f798b403/cycle/12/2146/1387.png failed
40297 2025-08-20 15:16:52,186 ERROR: download_tiles.py(156): Download https://tile.thunderforest.com/cycle/12/2147/1386.png?apikey=cb3553b5305749f8a585e4e7ce4d56f1 to /data/websites/snailtrail.org/www/tasks/f568a45be5d5c82da29130d81c692fb9b21ca16044edee81f5ed4db2f798b403/cycle/12/2147/1386.png failed
40297 2025-08-20 15:16:54,385 ERROR: download_tiles.py(156): Download https://tile.thunderforest.com/cycle/12/2147/1387.png?apikey=cb3553b5305749f8a585e4e7ce4d56f1 to /data/websites/snailtrail.org/www/tasks/f568a45be5d5c82da29130d81c692fb9b21ca16044edee81f5ed4db2f798b403/cycle/12/2147/1387.png failed
40297 2025-08-20 15:16:56,434 ERROR: download_tiles.py(156): Download https://tile.thunderforest.com/cycle/13/4291/2772.png?apikey=cb3553b5305749f8a585e4e7ce4d56f1 to /data/websites/snailtrail.org/www/tasks/f568a45be5d5c82da29130d81c692fb9b21ca16044edee81f5ed4db2f798b403/cycle/13/4291/2772.png failed
40297 2025-08-20 15:16:57,541 ERROR: download_tiles.py(156): Download https://tile.thunderforest.com/cycle/13/4291/2773.png?apikey=cb3553b5305749f8a585e4e7ce4d56f1 to /data/websites/snailtrail.org/www/tasks/f568a45be5d5c82da29130d81c692fb9b21ca16044edee81f5ed4db2f798b403/cycle/13/4291/2773.png failed
40297 2025-08-20 15:17:00,268 ERROR: download_tiles.py(156): Download https://tile.thunderforest.com/cycle/13/4291/2774.png?apikey=cb3553b5305749f8a585e4e7ce4d56f1 to /data/websites/snailtrail.org/www/tasks/f568a45be5d5c82da29130d81c692fb9b21ca16044edee81f5ed4db2f798b403/cycle/13/4291/2774.png failed
40297 2025-08-20 15:17:02,243 ERROR: download_tiles.py(156): Download https://tile.thunderforest.com/cycle/13/4292/2772.png?apikey=cb3553b5305749f8a585e4e7ce4d56f1 to /data/websites/snailtrail.org/www/tasks/f568a45be5d5c82da29130d81c692fb9b21ca16044edee81f5ed4db2f798b403/cycle/13/4292/2772.png failed
40297 2025-08-20 15:17:04,512 ERROR: download_tiles.py(156): Download https://tile.thunderforest.com/cycle/13/4292/2773.png?apikey=cb3553b5305749f8a585e4e7ce4d56f1 to /data/websites/snailtrail.org/www/tasks/f568a45be5d5c82da29130d81c692fb9b21ca16044edee81f5ed4db2f798b403/cycle/13/4292/2773.png failed
